Type,Diff.Un,Diff.Adj
Distance,0.3260410402739686,0.07268136094111617
Contin.,0.052360833917907794,0.014266270845174777
Contin.,0.12535621603666425,0.01824409733361078
Contin.,0.12577906427871133,0.015208687453500892
Binary,0.02283571685754371,-0.007810320781032054
Binary,0.038646792041872935,0.013947001394700259
Binary,-0.034888373734704256,0.002789400278940146
Binary,-0.01776708448548335,-0.010599721059971992
Binary,-0.006168665894526615,8.368200836820135e-4
Binary,-0.002658384784702407,8.368200836821257e-4
Binary,0.00509843011984723,-0.003626220362621946
Contin.,0.18076941325102985,0.029520000114128104
Contin.,0.13037129156956453,0.02733405195686142
Contin.,-0.18501038874521059,-0.03906616558366898
